Year,Award,Nominees,Ethnicity,Movie
2009,Actor in a Leading Role,Jeremy Renner,Caucasian American,The Hurt Locker
2010,Actor in a Leading Role,Colin Firth,Italian-British,The King's Speech
2010,Actor in a Leading Role,Javier Bardem,Spanish,Biutiful
2010,Actor in a Leading Role,Jeff Bridges,Caucasian American,True Grit
2010,Actor in a Leading Role,Jesse Eisenberg,Caucasian American,The Social Network
2010,Actor in a Leading Role,James Franco,Caucasian American,127 Hours
2011,Actor in a Leading Role,Jean Dujardin,French,The Artist
2011,Actor in a Leading Role,Demián Bichir,Mexican-American,A Better Life
2011,Actor in a Leading Role,George Clooney,Caucasian American,The Descendants
2011,Actor in a Leading Role,Gary Oldman,English,Tinker Tailor Soldier Spy
2011,Actor in a Leading Role,Brad Pitt,Caucasian American,Moneyball
2012,Actor in a Leading Role,Daniel Day-Lewis,British-Irish,Lincoln
2012,Actor in a Leading Role,Bradley Cooper,Caucasian American,Silver Linings Playbook
2012,Actor in a Leading Role,Hugh Jackman,Canadian,Les Misérables
2012,Actor in a Leading Role,Joaquin Phoenix,Mexican-American,The Master
2012,Actor in a Leading Role,Denzel Washington,African American,Flight
2013,Actor in a Leading Role,Matthew McConaughey,Caucasian American,Dallas Buyers Club
2013,Actor in a Leading Role,Christian Bale,English American,American Hustle
2013,Actor in a Leading Role,Bruce Dern,Caucasian American,Nebraska
2013,Actor in a Leading Role,Leonardo DiCaprio,Caucasian American,The Wolf of Wall Street
2013,Actor in a Leading Role,Chiwetel Ejiofor,African American,12 Years a Slave
2014,Actor in a Leading Role,Eddie Redmayne,English,The Theory of Everything
2014,Actor in a Leading Role,Steve Carell,Caucasian American,Foxcatcher
2014,Actor in a Leading Role,Bradley Cooper,Caucasian American,American Sniper
2014,Actor in a Leading Role,Benedict Cumberbatch,English,The Imitation Game
2014,Actor in a Leading Role,Michael Keaton,Caucasian American,Birdman
2015,Actor in a Leading Role,Leonardo DiCaprio,Caucasian American,The Revenant
2015,Actor in a Leading Role,Bryan Cranston,Caucasian American,Trumbo
2015,Actor in a Leading Role,Matt Damon,Caucasian American,The Martian
2015,Actor in a Leading Role,Michael Fassbender,Irish-German,Steve Jobs
2015,Actor in a Leading Role,Eddie Redmayne,English,The Danish Girl
2016,Actor in a Leading Role,Casey Affleck,Caucasian American,Manchester by the Sea
2016,Actor in a Leading Role,Andrew Garfield,British-American,Hacksaw Ridge
2016,Actor in a Leading Role,Ryan Gosling,Caucasian American,La La Land
2016,Actor in a Leading Role,Viggo Mortensen,Caucasian American,Captain Fantastic
2016,Actor in a Leading Role,Denzel Washington,African American,Fences
2017,Actor in a Leading Role,Gary Oldman,English,Darkest Hour
2017,Actor in a Leading Role,Timothée Chalamet,French-American,Call Me by Your Name
2017,Actor in a Leading Role,Daniel Day-Lewis,British-Irish,Phantom Thread
2017,Actor in a Leading Role,Daniel Kaluuya,African American,Get Out
2017,Actor in a Leading Role,Denzel Washington,African American,"Roman J. Israel, Esq."
2018,Actor in a Leading Role,Rami Malek,Egyptian-American,Bohemian Rhapsody
2018,Actor in a Leading Role,Christian Bale,English American,Vice
2018,Actor in a Leading Role,Bradley Cooper,Caucasian American,A Star Is Born
2018,Actor in a Leading Role,Willem Dafoe,Caucasian American,At Eternity's Gate
2018,Actor in a Leading Role,Viggo Mortensen,Caucasian American,Green Book
